CO_MES,SETOR,UF,PAIS,BLOCO,FOB,Quant
1,ANI_VIV,AC,Argélia,África,1.381955,0.509638
1,ANI_VIV,GO,Argélia,África,0.064051,0.023621
1,ANI_VIV,MG,Argélia,África,0.110556,0.040771
1,ANI_VIV,MS,Bolívia,América do Sul,0.480334,0.002974
1,ANI_VIV,MS,Equador,América do Sul,0.093612,0.000632
1,ANI_VIV,MS,Peru,América do Sul,0.189381,0.003019
1,ANI_VIV,PA,Arábia Saudita,Oriente Médio,5.519394,2.67283
1,ANI_VIV,PA,Egito,África,7.774898,4.2355
1,ANI_VIV,PA,Iraque,Oriente Médio,4.150382,1.54865
1,ANI_VIV,PA,Líbano,Oriente Médio,16.058287,7.39023
1,ANI_VIV,PA,Marrocos,África,17.783565,7.4618
1,ANI_VIV,PR,Argentina,América do Sul,0.876729,0.03852
1,ANI_VIV,PR,Argélia,África,0.672551,0.248024
1,ANI_VIV,PR,Colômbia,América do Sul,0.048792,0.00404
1,ANI_VIV,PR,Paraguai,América do Sul,1.148531,0.1211
1,ANI_VIV,RJ,Estados Unidos,América do Norte,0.001612,3e-06
1,ANI_VIV,RJ,Holanda,União Europeia - UE,1e-05,2e-06
1,ANI_VIV,RS,Egito,África,3.85395,1.54158
1,ANI_VIV,RS,Equador,América do Sul,0.030724,0.000179
1,ANI_VIV,RS,Estados Unidos,América do Norte,0.024712,0.0005
1,ANI_VIV,RS,Etiópia,África,0.021434,0.001136
1,ANI_VIV,RS,Iraque,Oriente Médio,3.352559,1.58626
1,ANI_VIV,RS,Paraguai,América do Sul,0.009164,0.000693
1,ANI_VIV,RS,Turquia,Europa,15.163225,6.06529
1,ANI_VIV,SP,Alemanha,União Europeia - UE,0.0009,0.0
1,ANI_VIV,SP,Argentina,América do Sul,1.376118,0.0025710000000000004
1,ANI_VIV,SP,Argélia,África,0.804166,0.296561
1,ANI_VIV,SP,Bolívia,América do Sul,0.918641,0.056695999999999996
1,ANI_VIV,SP,Chile,América do Sul,1.127483,0.002074
1,ANI_VIV,SP,Colômbia,América do Sul,1.313638,0.001298
1,ANI_VIV,SP,Equador,América do Sul,0.217893,0.001835
1,ANI_VIV,SP,Gabão,África,3.811578,0.34765
1,ANI_VIV,SP,Japão,Ásia (Exclusive Oriente Médio),0.01404,0.000125
1,ANI_VIV,SP,Malásia,Ásia (Exclusive Oriente Médio),0.839822,0.002777
1,ANI_VIV,SP,Nigéria,África,0.313078,0.040575
1,ANI_VIV,SP,Paraguai,América do Sul,0.46556,0.010286
1,ANI_VIV,SP,Peru,América do Sul,0.505096,0.006830999999999999
1,ANI_VIV,SP,Sri Lanka,Ásia (Exclusive Oriente Médio),0.17612,0.001224
1,ANI_VIV,SP,Uruguai,América do Sul,0.18728799999999998,0.0012289999999999998
1,APICOLAS,AL,Bahamas,América Central e Caribe,8e-06,1.2e-05
1,APICOLAS,AL,Libéria,África,2.9e-05,4e-06
1,APICOLAS,AL,Malta,União Europeia - UE,5.3e-05,3e-06
1,APICOLAS,AM,Guiné-Bissau,África,0.00016,5e-06
1,APICOLAS,AM,"Marshall, Ilhas",Oceania,2.9e-05,2e-06
1,APICOLAS,AM,Panamá,América Central e Caribe,0.000121,8e-06
1,APICOLAS,BA,Alemanha,União Europeia - UE,0.10321,0.041175
1,APICOLAS,BA,Bélgica,União Europeia - UE,9e-05,6e-06
1,APICOLAS,BA,Canadá,América do Norte,0.242487,0.085488
1,APICOLAS,BA,Estados Unidos,América do Norte,0.203213,0.065555
1,APICOLAS,BA,Hong Kong,Ásia (Exclusive Oriente Médio),2.5e-05,4e-06
1,APICOLAS,BA,Libéria,África,0.00025,2.4e-05
1,APICOLAS,BA,"Marshall, Ilhas",Oceania,1.7e-05,2e-06
1,APICOLAS,BA,Panamá,América Central e Caribe,0.00015,1.2e-05
