ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2025,6,PADIVER,0.0048,0.017304,SP,IDN,Indonésia
2025,4,PADIVER,1e-06,4e-06,BA,LBR,Libéria
2025,10,PADIVER,0.00012,0.000331,MA,SGP,Cingapura
2025,4,PHORTIC,3.3e-05,9.1e-05,ES,PAN,Panamá
2025,10,PHORTIC,3.1e-05,9e-05,RJ,BRA,Brasil
2025,6,PFLOREST,1.942297,6.901816,PA,USA,Estados Unidos
2025,10,OPORANI,2e-05,5.4e-05,RJ,ESP,Espanha
2025,7,CHAMATE,5e-06,8.3e-05,SP,CYP,Chipre
2025,9,LACTEOS,4.1e-05,0.000185,SP,FRA,França
2025,9,CAFE,0.0003,0.003587,MG,PRT,Portugal
2025,6,CAR_BOV,1.5e-05,0.000119,ES,NOR,Noruega
2025,11,CAFE,0.0864,0.676501,PR,BEL,Bélgica
2025,10,PHORTIC,6.5e-05,0.000237,RJ,LBR,Libéria
2025,11,PHORTIC,4e-05,4.1e-05,MA,GRC,Grécia
2025,10,PHORTIC,3e-06,5.5e-05,PE,URY,Uruguai
2025,4,PHORTIC,0.000168,0.000181,SC,LBR,Libéria
2025,1,CAR_FRA,0.000481,0.0013,MA,PAN,Panamá
2025,9,PADIVER,0.039687,0.092891,SP,URY,Uruguai
2025,11,FRUTAS,0.000145,0.000257,AL,LBR,Libéria
2025,2,CEREAIS,0.0008,0.000803,GO,NLD,Países Baixos (Holanda)
2025,7,CAR_SUI,0.000124,0.000455,MA,MHL,"Marshall, Ilhas"
2025,10,CAFE,15.178751,103.983012,MG,USA,Estados Unidos
2025,2,PHORTIC,0.000148,0.000895,SP,PAN,Panamá
2025,4,CAR_BOV,0.01527,0.066004,RR,GUY,Guiana
2025,5,FRUTAS,1e-05,2.4e-05,SP,JPN,Japão
2025,7,PHORTIC,0.000251,0.000816,RS,MHL,"Marshall, Ilhas"
2025,10,FRUTAS,0.000295,0.000303,PA,MHL,"Marshall, Ilhas"
2025,5,FRUTAS,0.024,0.0456,RS,TUR,Turquia
2025,12,PHORTIC,0.000119,0.000191,CE,MLT,Malta
2025,8,PHORTIC,3e-06,1.1e-05,RJ,NLD,Países Baixos (Holanda)
2025,2,PHORTIC,2.6e-05,0.000151,AL,LBR,Libéria
2025,7,PADIVER,0.000334,0.000355,SP,MHL,"Marshall, Ilhas"
2025,10,CAR_BOV,0.134807,0.752355,GO,SAU,Arábia Saudita
2025,5,FRUTAS,6.5e-05,8.6e-05,SP,PRT,Portugal
