ANO,MES,SETOR,QUANT,FOB,UF,PAIS
2026,1,CAR_BOV,0.022356,0.089125,MT,PER
2026,8,PHORTIC,2.2e-05,6.7e-05,ES,BHS
2026,7,PFLOREST,0.461998,0.189607,RS,OMN
2026,5,CSUCRO,11.301295,4.096825,MG,EGY
2026,2,CEREAIS,0.013557,0.041597,MG,PRT
2026,7,OPORANI,0.0176,0.017424,RS,NLD
2026,3,CEREAIS,0.000236,0.002461,MG,AUS
2026,6,CAFE,2.2e-05,0.000309,PA,CYM
2026,8,CAR_OUT,0.052,0.03225,SC,GNQ
2026,7,CSOJA,62.506,22.195915,RS,THA
2026,2,CEREAIS,8e-06,3.9e-05,AL,MHL
2026,1,PHORTIC,0.00021,0.000349,PR,SGP
2026,3,CAFE,0.0042,0.043983,SP,URY
2026,3,CAR_FRA,4e-05,0.000125,PA,PAN
2026,5,CACAU,2e-06,5e-05,ES,MHL
2026,3,FRUTAS,0.35615,0.457578,RN,ESP
2026,3,BEBIDAS,6.7e-05,9.4e-05,MA,SGP
2026,4,BEBIDAS,4.7e-05,5e-05,ES,CHN
2026,8,CAR_BOV,0.423154,2.69318,SP,CHL
2026,7,OPORANI,0.02025,0.177322,SP,MEX
2026,6,BEBIDAS,9.4e-05,0.000104,ES,SGP
2026,1,PHORTIC,3.8e-05,4.8e-05,MA,PAN
2026,3,PHORTIC,6e-06,1.3e-05,SC,MHL
2026,6,CHAMATE,5e-06,8e-05,SC,PAN
2026,7,LACTEOS,1e-05,8.9e-05,SP,LBR
2026,7,PFLOREST,8.9e-05,0.000669,SP,PRY
2026,1,CAR_BOV,18.555105,99.285558,MT,CHN
2026,7,CACAU,4.5e-05,0.000808,SP,USA
2026,5,PADIVER,3e-05,8.1e-05,SC,PAN
2026,7,PHORTIC,5e-05,7.6e-05,MA,CYP
2026,4,OPORVEG,3.3e-05,0.000127,ES,PAN
2026,5,PHORTIC,0.02779,0.021727,MT,TUR
2026,3,FRUTAS,0.000576,0.000954,ES,NLD
2026,3,PFLOREST,3.7e-05,7.4e-05,SC,PRY
2026,4,FRUTAS,0.072934,0.089103,SP,ARG
2026,5,PADIVER,5e-06,1.9e-05,SC,PAN
2026,7,CHAMATE,2e-06,2.5e-05,BA,PRT
2026,6,CHAMATE,2e-06,2e-06,ES,BRA
2026,5,LACTEOS,1.4e-05,8.2e-05,RS,BHS
2026,3,PHORTIC,7.4e-05,8.3e-05,MA,MHL
2026,7,PADIVER,0.000154,0.000412,AM,LBR
2026,1,PFLOREST,0.026395,0.010306,RS,IND
2026,6,CEREAIS,0.000114,0.00042,RJ,BHS
2026,6,CEREAIS,3.7e-05,0.000171,SP,LBR
2026,6,FIBRAS,0.002154,0.013318,SP,ARG
2026,8,FRUTAS,4.5e-05,0.000235,RJ,GRC
